,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1,baseline_roc_auc,baseline_personal_status_SPD,baseline_personal_status_DI,baseline_personal_status_EOD,baseline_personal_status_AOD,baseline_age_group_SPD,baseline_age_group_DI,baseline_age_group_EOD,baseline_age_group_AOD,fairness_accuracy,fairness_precision,fairness_recall,fairness_f1,fairness_roc_auc,fairness_personal_status_SPD,fairness_personal_status_DI,fairness_personal_status_EOD,fairness_personal_status_AOD,fairness_age_group_SPD,fairness_age_group_DI,fairness_age_group_EOD,fairness_age_group_AOD,accuracy_improvement,f1_improvement,personal_status_SPD_improvement,personal_status_EOD_improvement
Logistic Regression,0.705,0.7755102040816326,0.8142857142857143,0.794425087108014,0.7639285714285714,-0.09496753246753253,0.8777429467084639,-0.1071428571428571,-0.0401785714285714,-0.06663837011884544,0.9141607435757245,-0.02270815811606386,-0.05500487270882559,0.7,0.7666666666666667,0.8214285714285714,0.7931034482758621,0.7422619047619048,-0.14204545454545459,0.8251748251748251,-0.11904761904761907,-0.11532738095238099,0.021222410865874397,1.0288018433179724,0.018923465096719938,0.0689855420721695,-0.0050000000000000044,-0.0013216388321518613,-0.04707792207792205,-0.011904761904761973
Random Forest,0.735,0.7735849056603774,0.8785714285714286,0.822742474916388,0.7748214285714285,-0.019480519480519543,0.9757575757575757,-0.005952380952380931,0.023809523809523836,-0.0547538200339559,0.93394777265745,-0.001261564339781307,-0.04824982978893827,0.735,0.7377049180327869,0.9642857142857143,0.8359133126934984,0.7641071428571429,0.030032467532467466,1.0333033303330332,0.029761904761904767,0.061755952380952384,-0.030984719864176613,0.9668332576101771,-0.002102607232968956,-0.024860827426008314,0.0,0.013170837777110478,0.04951298701298701,0.0357142857142857
XGBoost,0.705,0.7832167832167832,0.8,0.7915194346289752,0.7302380952380954,-0.03896103896103886,0.9467849223946786,-0.05357142857142849,0.022321428571428603,0.007215619694397324,1.0101553166069295,0.011774600504625754,0.0574746018396145,0.73,0.7529411764705882,0.9142857142857143,0.8258064516129032,0.7420238095238095,0.024350643157958984,1.0290135145187378,-0.005952380952380931,0.08407738095238099,-0.008488953113555908,0.9900744557380676,0.000841042893187538,0.024230045256117605,0.025000000000000022,0.034287016983928,0.06331168211899785,0.04761904761904756
