,accuracy,precision,recall,f1,roc_auc,personal_status_SPD,personal_status_DI,personal_status_EOD,personal_status_AOD,age_group_SPD,age_group_DI,age_group_EOD,age_group_AOD
Logistic Regression,0.7,0.7666666666666667,0.8214285714285714,0.7931034482758621,0.7422619047619048,-0.14204545454545459,0.8251748251748251,-0.11904761904761907,-0.11532738095238099,0.021222410865874397,1.0288018433179724,0.018923465096719938,0.0689855420721695
Random Forest,0.735,0.7377049180327869,0.9642857142857143,0.8359133126934984,0.7641071428571429,0.030032467532467466,1.0333033303330332,0.029761904761904767,0.061755952380952384,-0.030984719864176613,0.9668332576101771,-0.002102607232968956,-0.024860827426008314
XGBoost,0.73,0.7529411764705882,0.9142857142857143,0.8258064516129032,0.7420238095238095,0.024350643157958984,1.0290135145187378,-0.005952380952380931,0.08407738095238099,-0.008488953113555908,0.9900744557380676,0.000841042893187538,0.024230045256117605
