,accuracy,precision,recall,f1,roc_auc,personal_status_SPD,personal_status_DI,personal_status_EOD,personal_status_AOD,age_group_SPD,age_group_DI,age_group_EOD,age_group_AOD
Logistic Regression,0.705,0.7755102040816326,0.8142857142857143,0.794425087108014,0.7639285714285714,-0.09496753246753253,0.8777429467084639,-0.1071428571428571,-0.0401785714285714,-0.06663837011884544,0.9141607435757245,-0.02270815811606386,-0.05500487270882559
Random Forest,0.735,0.7735849056603774,0.8785714285714286,0.822742474916388,0.7748214285714285,-0.019480519480519543,0.9757575757575757,-0.005952380952380931,0.023809523809523836,-0.0547538200339559,0.93394777265745,-0.001261564339781307,-0.04824982978893827
XGBoost,0.705,0.7832167832167832,0.8,0.7915194346289752,0.7302380952380954,-0.03896103896103886,0.9467849223946786,-0.05357142857142849,0.022321428571428603,0.007215619694397324,1.0101553166069295,0.011774600504625754,0.0574746018396145
